wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated,areaname,slat,nlat,llon,rlon,epoch,model
5607,5607,"PE_VCS_BORA_BORA_SAU_2001","Bora_Bora_SAU_2001","VERTCS[""Bora_Bora_SAU_2001"",VDATUM[""Bora_Bora_SAU_2001""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Bora_Bora_SAU_2001"",VDATUM[""Bora_Bora_SAU_2001""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Bora Bora SAU 2001","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Bora Bora",-16.62,-16.39,-151.86,-151.61,,""
5608,5608,"PE_VCS_IGLD_1955","IGLD_1955","VERTCS[""IGLD_1955"",VDATUM[""International_Great_Lakes_Datum_1955""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGLD_1955"",VDATUM[""International_Great_Lakes_Datum_1955""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGLD 1955 (Int'l Great Lakes Datum 1955)","EPSG","6.15(9.3.0.0)","no","North America - Great Lakes basin and St Lawrence Seaway",40.99,52.22,-93.17,-54.75,,""
5609,5609,"PE_VCS_IGLD_1985","IGLD_1985","VERTCS[""IGLD_1985"",VDATUM[""International_Great_Lakes_Datum_1985""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGLD_1985"",VDATUM[""International_Great_Lakes_Datum_1985""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGLD 1985 (Int'l Great Lakes Datum 1985)","EPSG","6.15(9.3.0.0)","no","North America - Great Lakes basin and St Lawrence Seaway",40.99,52.22,-93.17,-54.75,,""
5610,5610,"PE_VCS_HVRS_1971","HVRS_1971","VERTCS[""HVRS_1971"",VDATUM[""Croatian_Vertical_Reference_System_1971""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""HVRS_1971"",VDATUM[""Croatian_Vertical_Reference_System_1971""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Croatian Vertical Reference System 1971","EPSG","6.15(10.0.0)","no","Croatia - onshore",42.34,46.54,13.43,19.43,,""
5611,5611,"PE_VCS_CASPIAN_HEIGHT","Caspian_height","VERTCS[""Caspian_height"",VDATUM[""Caspian_Sea""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Caspian_height"",VDATUM[""Caspian_Sea""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Caspian (height)","EPSG","9.8.12(10.0.0)","no","Asia - FSU - Caspian Sea",37.35,46.97,46.95,53.93,,""
5612,5612,"PE_VCS_BALTIC_DEPTH","Baltic_depth","VERTCS[""Baltic_depth"",VDATUM[""Baltic_Sea""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",-1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Baltic_depth"",VDATUM[""Baltic_Sea""],CS[vertical,1],AXIS[""Gravity-related height (H)"",down,LENGTHUNIT[""Meter"",1.0]]]","Baltic (depth)","EPSG","9.2.2(10.0.0)","no","Europe - FSU, Czechoslovakia - onshore",35.14,77.79,12.09,-169.57,,""
5613,5613,"PE_VCS_RH2000","RH2000","VERTCS[""RH2000"",VDATUM[""Rikets_Hojdsystem_2000""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""RH2000"",VDATUM[""Rikets_Hojdsystem_2000""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","RH2000 -- Rikets Hojdsystem 2000","EPSG","7.5.8(10.0.0)","no","Sweden - onshore",55.28,69.07,10.93,24.17,,""
5614,5614,"PE_VCS_KOC_WD_DEPTH_FT","KOC_WD_depth_ft","VERTCS[""KOC_WD_depth_ft"",VDATUM[""KOC_Well_Datum""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",-1.0],UNIT[""Foot"",0.3048]]","VERTCRS[""KOC_WD_depth_ft"",VDATUM[""KOC_Well_Datum""],CS[vertical,1],AXIS[""Gravity-related height (H)"",down,LENGTHUNIT[""Foot"",0.3048]]]","KOC WD (depth - ft)","EPSG","10.019(10.0.0)","no","Kuwait - onshore",28.53,30.09,46.54,48.48,,""
5615,5615,"PE_VCS_RH1900","RH1900","VERTCS[""RH1900"",VDATUM[""Rikets_Hojdsystem_1900""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""RH1900"",VDATUM[""Rikets_Hojdsystem_1900""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Rikets hojdsystem 1900","EPSG","6.15(10.0.0)","no","Sweden - onshore",55.28,69.07,10.93,24.17,,""
5616,5616,"PE_VCS_IGN_1988_LS","IGN_1988_LS","VERTCS[""IGN_1988_LS"",VDATUM[""IGN_1988_LS""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGN_1988_LS"",VDATUM[""IGN_1988_LS""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGN 1988 LS","EPSG","6.18(10.0.0)","no","Guadeloupe - Les Saintes - onshore",15.8,15.94,-61.68,-61.52,,""
5617,5617,"PE_VCS_IGN_1988_MG","IGN_1988_MG","VERTCS[""IGN_1988_MG"",VDATUM[""IGN_1988_MG""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGN_1988_MG"",VDATUM[""IGN_1988_MG""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGN 1988 MG","EPSG","6.18(10.0.0)","no","Guadeloupe - Marie-Galante - onshore",15.8,16.05,-61.39,-61.13,,""
5618,5618,"PE_VCS_IGN_1992_LD","IGN_1992_LD","VERTCS[""IGN_1992_LD"",VDATUM[""IGN_1992_LD""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGN_1992_LD"",VDATUM[""IGN_1992_LD""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGN 1992 LD","EPSG","9.7(10.0.0)","no","Guadeloupe - La Desirade - onshore",16.26,16.38,-61.13,-60.97,,""
5619,5619,"PE_VCS_IGN_1988_SB","IGN_1988_SB","VERTCS[""IGN_1988_SB"",VDATUM[""IGN_1988_SB""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGN_1988_SB"",VDATUM[""IGN_1988_SB""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGN 1988 SB","EPSG","6.18(10.0.0)","no","Guadeloupe - St Barthelemy - onshore",17.82,17.98,-62.92,-62.73,,""
5620,5620,"PE_VCS_IGN_1988_SM","IGN_1988_SM","VERTCS[""IGN_1988_SM"",VDATUM[""IGN_1988_SM""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGN_1988_SM"",VDATUM[""IGN_1988_SM""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGN 1988 SM","EPSG","6.18(10.0.0)","no","Guadeloupe - St Martin - onshore",18.01,18.17,-63.21,-62.96,,""
5621,5621,"PE_VCS_EVRF_2007","EVRF_2007","VERTCS[""EVRF_2007"",VDATUM[""European_Vertical_Reference_Frame_2007""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""EVRF_2007"",VDATUM[""European_Vertical_Reference_Frame_2007""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","European Vertical Reference Frame 2007","EPSG","8.6.3(10.0.0)","no","Europe - EVRF2007",35.95,71.24,-9.56,31.59,,""
5701,5701,"PE_VCS_NEWLYN","Newlyn","VERTCS[""Newlyn"",VDATUM[""Ordnance_Datum_Newlyn""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Newlyn"",VDATUM[""Ordnance_Datum_Newlyn""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Newlyn","EPSG","6.7(9.3.0.0)","no","UK - Great Britain mainland onshore",49.93,58.71,-7.06,1.8,,""
5702,5702,"PE_VCS_NGVD_1929","NGVD_1929","VERTCS[""NGVD_1929"",VDATUM[""National_Geodetic_Vertical_Datum_1929""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Foot_US"",0.3048006096012192]]","VERTCRS[""NGVD_1929"",VDATUM[""National_Geodetic_Vertical_Datum_1929""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Foot_US"",0.3048006096012192]]]","NGVD_1929 -- National Geodetic Vertical Datum of 1929","EPSG","6.15(9.3.0.0)","no","USA - CONUS - onshore",24.41,49.38,-124.79,-66.91,,""
5703,5703,"PE_VCS_NAVD_1988","NAVD_1988","VERTCS[""NAVD_1988"",VDATUM[""North_American_Vertical_Datum_1988""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""NAVD_1988"",VDATUM[""North_American_Vertical_Datum_1988""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","NAVD_1988 -- North American Vertical Datum of 1988","EPSG","6.15(9.3.0.0)","no","North America - Mexico and USA - onshore",14.51,71.4,172.42,-66.91,,""
5704,5736,"PE_VCS_YELLOW_SEA_1956","Yellow_Sea_1956","VERTCS[""Yellow_Sea_1956"",VDATUM[""Yellow_Sea_1956""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Yellow_Sea_1956"",VDATUM[""Yellow_Sea_1956""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Yellow Sea 1956","EPSG","2.1(10.2.0)","yes","China - onshore",18.11,53.56,73.62,134.77,,""
5705,5705,"PE_VCS_BALTIC","Baltic","VERTCS[""Baltic"",VDATUM[""Baltic_Sea""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Baltic"",VDATUM[""Baltic_Sea""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Baltic","EPSG","6.7(9.3.0.0)","no","Europe - FSU, Czechoslovakia - onshore",35.14,77.79,12.09,-169.57,,""
5706,5706,"PE_VCS_CASPIAN","Caspian","VERTCS[""Caspian"",VDATUM[""Caspian_Sea""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",-1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Caspian"",VDATUM[""Caspian_Sea""],CS[vertical,1],AXIS[""Gravity-related height (H)"",down,LENGTHUNIT[""Meter"",1.0]]]","Caspian","EPSG","6.15(9.3.0.0)","no","Asia - FSU - Caspian Sea",37.35,46.97,46.95,53.93,,""
5709,5709,"PE_VCS_NAP","NAP","VERTCS[""NAP"",VDATUM[""Normaal_Amsterdams_Peil""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""NAP"",VDATUM[""Normaal_Amsterdams_Peil""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","NAP -- Normaal Amsterdams Peil","EPSG","4.5(9.3.0.0)","no","Netherlands",50.75,55.77,2.53,7.22,,""
5710,5710,"PE_VCS_OOSTENDE","Oostende","VERTCS[""Oostende"",VDATUM[""Oostende""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Oostende"",VDATUM[""Oostende""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Oostende","EPSG","6.15(9.3.0.0)","no","Belgium - onshore",49.5,51.51,2.5,6.4,,""
5711,5711,"PE_VCS_AHD","AHD","VERTCS[""AHD"",VDATUM[""Australian_Height_Datum""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""AHD"",VDATUM[""Australian_Height_Datum""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","AHD -- Australian Height Datum","EPSG","6.15(9.3.0.0)","no","Australia Christmas and Cocos - onshore",-43.7,-9.86,96.76,153.69,,""
5712,5712,"PE_VCS_AHD_TASMANIA","AHD_Tasmania","VERTCS[""AHD_Tasmania"",VDATUM[""Australian_Height_Datum_Tasmania""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""AHD_Tasmania"",VDATUM[""Australian_Height_Datum_Tasmania""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","AHD_Tasmania -- Australian Height Datum (Tasmania)","EPSG","6.15(9.3.0.0)","no","Australia - Tasmania mainland onshore",-43.7,-40.24,144.55,148.44,,""
5713,5713,"PE_VCS_CGVD_1928","CGVD_1928","VERTCS[""CGVD_1928"",VDATUM[""Canadian_Geodetic_Vertical_Datum_of_1928""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""CGVD_1928"",VDATUM[""Canadian_Geodetic_Vertical_Datum_of_1928""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","CGVD_1928 -- Canadian Geodetic Vertical Datum of 1928","EPSG","6.7(9.3.0.0)","no","Canada - CGVD28",41.67,69.8,-141.01,-59.73,,""
5714,5714,"PE_VCS_MSL_HEIGHT","MSL_Height","VERTCS[""MSL_Height"",VDATUM[""Mean_Sea_Level""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""MSL_Height"",VDATUM[""Mean_Sea_Level""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","MSL_Height -- Mean Sea Level Height","EPSG","7.12(9.3.0.0)","no","World",-90.0,90.0,-180.0,180.0,,""
5715,5715,"PE_VCS_MSL_DEPTH","MSL_Depth","VERTCS[""MSL_Depth"",VDATUM[""Mean_Sea_Level""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",-1.0],UNIT[""Meter"",1.0]]","VERTCRS[""MSL_Depth"",VDATUM[""Mean_Sea_Level""],CS[vertical,1],AXIS[""Gravity-related height (H)"",down,LENGTHUNIT[""Meter"",1.0]]]","MSL_Depth -- Mean Sea Level Depth","EPSG","7.12(9.3.0.0)","no","World",-90.0,90.0,-180.0,180.0,,""
5716,5716,"PE_VCS_PIRAEUS","Piraeus","VERTCS[""Piraeus"",VDATUM[""Piraeus_Harbour_1986""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Piraeus"",VDATUM[""Piraeus_Harbour_1986""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Piraeus","EPSG","6.15(9.3.0.0)","no","Greece - onshore",34.88,41.75,19.57,28.3,,""
5717,5717,"PE_VCS_N60","N60","VERTCS[""N60"",VDATUM[""Helsinki_1960""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""N60"",VDATUM[""Helsinki_1960""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","N60","EPSG","6.7(9.3.0.0)","no","Finland - onshore",59.75,70.09,19.24,31.59,,""
