wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated,areaname,slat,nlat,llon,rlon,accuracy
1064,1064,"PE_GT_LAO_1993_TO_LAO_1997_1","Lao_1993_To_Lao_1997_1","GEOGTRAN[""Lao_1993_To_Lao_1997_1"",GEOGCS[""GCS_Lao_1993"",DATUM[""D_Lao_1993"",SPHEROID[""Krasovsky_1940"",6378245.0,298.3]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_Lao_1997"",DATUM[""D_Lao_National_Datum_1997"",SPHEROID[""Krasovsky_1940"",6378245.0,298.3]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-0.652],PARAMETER[""Y_Axis_Translation"",1.619],PARAMETER[""Z_Axis_Translation"",0.213]]","Lao People's Democratic Republic","EPSG","6.5.2(9.2.0)","no","Laos",13.92,22.5,100.09,107.64,0.15
1065,1065,"PE_GT_LAO_1997_TO_WGS_1984_1","Lao_1997_To_WGS_1984_1","GEOGTRAN[""Lao_1997_To_WGS_1984_1"",GEOGCS[""GCS_Lao_1997"",DATUM[""D_Lao_National_Datum_1997"",SPHEROID[""Krasovsky_1940"",6378245.0,298.3]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",44.585],PARAMETER[""Y_Axis_Translation"",-131.212],PARAMETER[""Z_Axis_Translation"",-39.544]]","Lao People's Democratic Republic","EPSG","6.5.2(9.2.0)","no","Laos",13.92,22.5,100.09,107.64,5.0
1066,1066,"PE_GT_AMERSFOORT_TO_ETRS_1989_MB","Amersfoort_To_ETRS_1989_MB","GEOGTRAN[""Amersfoort_To_ETRS_1989_MB"",GEOGCS[""GCS_Amersfoort"",DATUM[""D_Amersfoort"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_ETRS_1989"",DATUM[""D_ETRS_1989"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Molodensky_Badekas""],PARAMETER[""X_Axis_Translation"",593.032],PARAMETER[""Y_Axis_Translation"",26.0],PARAMETER[""Z_Axis_Translation"",478.741],PARAMETER[""X_Axis_Rotation"",0.4093943874392368],PARAMETER[""Y_Axis_Rotation"",-0.3597051956143113],PARAMETER[""Z_Axis_Rotation"",1.868491000350572],PARAMETER[""Scale_Difference"",4.0772],PARAMETER[""X_Coordinate_of_Rotation_Origin"",3903453.148],PARAMETER[""Y_Coordinate_of_Rotation_Origin"",368135.313],PARAMETER[""Z_Coordinate_of_Rotation_Origin"",5012970.306]]","Netherlands","EPSG","6.7(9.2.0)","no","Netherlands - onshore",50.75,53.7,3.2,7.22,0.6
1067,1067,"PE_GT_MINNA_TO_WGS_1984_11","Minna_To_WGS_1984_11","GEOGTRAN[""Minna_To_WGS_1984_11"",GEOGCS[""GCS_Minna"",DATUM[""D_Minna"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-92.1],PARAMETER[""Y_Axis_Translation"",-89.9],PARAMETER[""Z_Axis_Translation"",114.9]]","Nigeria - offshore beyond continental shelf","EPSG","6.18(9.2.0)","no","Nigeria - offshore blocks OPL 210, 213, 217 and 218",3.24,5.54,4.41,6.29,8.0
1068,1068,"PE_GT_GUAM_1963_TO_HARN_GU","Guam_1963_To_HARN_Guam","GEOGTRAN[""Guam_1963_To_HARN_Guam"",GEOGCS[""GCS_Guam_1963"",DATUM[""D_Guam_1963"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_North_American_1983_HARN"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""HARN""],PARAMETER[""Dataset_guhpgn"",0.0]]","Guam 1963 to NAD 1983 HARN Guam","EPSG","7.1.7(9.2.0)","no","Guam - onshore",13.18,13.7,144.58,145.01,5.0
1069,1069,"PE_GT_GUAM_1963_TO_WGS_1984_2","Guam_1963_To_WGS_1984_2","GEOGTRAN[""Guam_1963_To_WGS_1984_2"",GEOGCS[""GCS_Guam_1963"",DATUM[""D_Guam_1963"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""HARN""],PARAMETER[""Dataset_guhpgn"",0.0]]","Guam - HARN","EPSG","6.9(9.2.0)","no","Guam - onshore",13.18,13.7,144.58,145.01,5.0
1070,1070,"PE_GT_GUAM_1963_TO_WGS_1984_1","Guam_1963_To_WGS_1984_1","GEOGTRAN[""Guam_1963_To_WGS_1984_1"",GEOGCS[""GCS_Guam_1963"",DATUM[""D_Guam_1963"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-100.0],PARAMETER[""Y_Axis_Translation"",-248.0],PARAMETER[""Z_Axis_Translation"",259.0]]","Guam","EPSG","6.7(9.2.0)","no","Guam - onshore",13.18,13.7,144.58,145.01,6.0
1071,1071,"PE_GT_PALESTINE_1923_TO_ISRAEL_1","Palestine_1923_To_Israel_1","GEOGTRAN[""Palestine_1923_To_Israel_1"",GEOGCS[""GCS_Palestine_1923"",DATUM[""D_Palestine_1923"",SPHEROID[""Clarke_1880_Benoit"",6378300.789,293.4663155389802]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_Israel"",DATUM[""D_Israel"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-181.0],PARAMETER[""Y_Axis_Translation"",-122.0],PARAMETER[""Z_Axis_Translation"",225.0]]","Israel","EPSG","6.12(9.2.0)","no","Israel, Palestine Territory, and Jordan",29.19,33.53,32.99,39.3,1.5
1073,1073,"PE_GT_ISRAEL_TO_WGS_1984","Israel_To_WGS_1984","GEOGTRAN[""Israel_To_WGS_1984"",GEOGCS[""GCS_Israel"",DATUM[""D_Israel"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-48.0],PARAMETER[""Y_Axis_Translation"",55.0],PARAMETER[""Z_Axis_Translation"",52.0]]","Israel","EPSG","7.6.4(9.2.0)","no","Israel, Palestine Territory, and Jordan",29.19,33.53,32.99,39.3,2.0
1074,1074,"PE_GT_PALESTINE_1923_TO_WGS_1984_1","Palestine_1923_To_WGS_1984_1","GEOGTRAN[""Palestine_1923_To_WGS_1984_1"",GEOGCS[""GCS_Palestine_1923"",DATUM[""D_Palestine_1923"",SPHEROID[""Clarke_1880_Benoit"",6378300.789,293.4663155389802]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Position_Vector""],PARAMETER[""X_Axis_Translation"",-275.7224],PARAMETER[""Y_Axis_Translation"",94.7824],PARAMETER[""Z_Axis_Translation"",340.8944],PARAMETER[""X_Axis_Rotation"",-8.001],PARAMETER[""Y_Axis_Rotation"",-4.42],PARAMETER[""Z_Axis_Rotation"",-11.821],PARAMETER[""Scale_Difference"",1.0]]","Israel","EPSG","6.16(9.2.0)","no","Israel, Palestine Territory, and Jordan",29.19,33.53,32.99,39.3,2.0
1075,1075,"PE_GT_ED_1950_TO_WGS_1984_38","ED_1950_To_WGS_1984_38","GEOGTRAN[""ED_1950_To_WGS_1984_38"",GEOGCS[""GCS_European_1950"",DATUM[""D_European_1950"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-89.05],PARAMETER[""Y_Axis_Translation"",-87.03],PARAMETER[""Z_Axis_Translation"",-124.56]]","Israel and Palestine - offshore Mediterranean Sea","EPSG","6.13(9.2.0)","no","Asia - Middle East - Israel, Palestine Territory, Turkey - offshore",31.35,43.45,28.03,41.47,10.0
1078,1078,"PE_GT_LUXEMBOURG_1930_TO_ETRS_1989_2","Luxembourg_1930_To_ETRS_1989_2","GEOGTRAN[""Luxembourg_1930_To_ETRS_1989_2"",GEOGCS[""GCS_Luxembourg_1930"",DATUM[""D_Luxembourg_1930"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_ETRS_1989"",DATUM[""D_ETRS_1989"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Molodensky_Badekas""],PARAMETER[""X_Axis_Translation"",-265.983],PARAMETER[""Y_Axis_Translation"",76.918],PARAMETER[""Z_Axis_Translation"",20.182],PARAMETER[""X_Axis_Rotation"",0.4099],PARAMETER[""Y_Axis_Rotation"",2.9332],PARAMETER[""Z_Axis_Rotation"",-2.6881],PARAMETER[""Scale_Difference"",0.43],PARAMETER[""X_Coordinate_of_Rotation_Origin"",4098647.674],PARAMETER[""Y_Coordinate_of_Rotation_Origin"",442843.139],PARAMETER[""Z_Coordinate_of_Rotation_Origin"",4851251.093]]","Luxembourg","EPSG","7.7(9.2.0)","no","Luxembourg",49.44,50.19,5.73,6.53,0.11
1079,1079,"PE_GT_LUXEMBOURG_1930_TO_WGS_1984_2","Luxembourg_1930_To_WGS_1984_2","GEOGTRAN[""Luxembourg_1930_To_WGS_1984_2"",GEOGCS[""GCS_Luxembourg_1930"",DATUM[""D_Luxembourg_1930"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Molodensky_Badekas""],PARAMETER[""X_Axis_Translation"",-265.983],PARAMETER[""Y_Axis_Translation"",76.918],PARAMETER[""Z_Axis_Translation"",20.182],PARAMETER[""X_Axis_Rotation"",0.4099],PARAMETER[""Y_Axis_Rotation"",2.9332],PARAMETER[""Z_Axis_Rotation"",-2.6881],PARAMETER[""Scale_Difference"",0.43],PARAMETER[""X_Coordinate_of_Rotation_Origin"",4098647.674],PARAMETER[""Y_Coordinate_of_Rotation_Origin"",442843.139],PARAMETER[""Z_Coordinate_of_Rotation_Origin"",4851251.093]]","Luxembourg","EPSG","7.7(9.2.0)","no","Luxembourg",49.44,50.19,5.73,6.53,0.51
1080,1080,"PE_GT_CHATHAM_ISLAND_1971_TO_WGS_1984","Chatham_Island_1971_To_WGS_1984","GEOGTRAN[""Chatham_Island_1971_To_WGS_1984"",GEOGCS[""GCS_Chatham_Island_1971"",DATUM[""D_Chatham_Island_1971"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",175.0],PARAMETER[""Y_Axis_Translation"",-38.0],PARAMETER[""Z_Axis_Translation"",113.0]]","Chatham Island","EPSG","6.7(9.2.0)","no","New Zealand - Chatham Islands group",-44.64,-43.3,-177.25,-175.54,26.0
1081,1081,"PE_GT_CHATHAM_ISLANDS_1979_TO_WGS_1984_1","Chatham_Islands_1979_To_WGS_1984_1","GEOGTRAN[""Chatham_Islands_1979_To_WGS_1984_1"",GEOGCS[""GCS_Chatham_Islands_1979"",DATUM[""D_Chatham_Islands_1979"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",174.05],PARAMETER[""Y_Axis_Translation"",-25.49],PARAMETER[""Z_Axis_Translation"",112.57],PARAMETER[""X_Axis_Rotation"",0.0],PARAMETER[""Y_Axis_Rotation"",0.0],PARAMETER[""Z_Axis_Rotation"",-0.554],PARAMETER[""Scale_Difference"",0.2263]]","Chatham Islands","EPSG","6.15(9.2.0)","no","New Zealand - Chatham Islands group",-44.64,-43.3,-177.25,-175.54,2.0
1082,1082,"PE_GT_CHATHAM_ISLANDS_1979_TO_NZGD_2000_1","Chatham_Islands_1979_To_NZGD_2000_1","GEOGTRAN[""Chatham_Islands_1979_To_NZGD_2000_1"",GEOGCS[""GCS_Chatham_Islands_1979"",DATUM[""D_Chatham_Islands_1979"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_NZGD_2000"",DATUM[""D_NZGD_2000"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",174.05],PARAMETER[""Y_Axis_Translation"",-25.49],PARAMETER[""Z_Axis_Translation"",112.57],PARAMETER[""X_Axis_Rotation"",0.0],PARAMETER[""Y_Axis_Rotation"",0.0],PARAMETER[""Z_Axis_Rotation"",-0.554],PARAMETER[""Scale_Difference"",0.2263]]","Chatham Islands","EPSG","6.15(9.2.0)","no","New Zealand - Chatham Islands group",-44.64,-43.3,-177.25,-175.54,2.0
1083,1083,"PE_GT_JAMAICA_1969_TO_WGS_1972_2","Jamaica_1969_To_WGS_1972_2","GEOGTRAN[""Jamaica_1969_To_WGS_1972_2"",GEOGCS[""GCS_Jamaica_1969"",DATUM[""D_Jamaica_1969"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1972"",DATUM[""D_WGS_1972"",SPHEROID[""WGS_1972"",6378135.0,298.26]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",50.0],PARAMETER[""Y_Axis_Translation"",212.0],PARAMETER[""Z_Axis_Translation"",381.0]]","Jamaica","EPSG","6.12(9.2.0)","no","Jamaica - onshore",17.64,18.58,-78.43,-76.17,10.0
